Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
3,2,4,13,6,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
4,2,4,21,6,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
5,2,4,29,6,HIT_MUD,false,0,3,0,0,0,,,0,0,-9
6,2,3,34,3,HIT_MUD,false,0,4,0,0,1,,,0,0,-8
7,2,3,37,3,ACCELERATING,false,0,4,0,0,1,,,0,0,-8
8,2,3,40,0,HIT_MUD,false,0,5,0,0,1,,,0,0,-11
9,2,3,40,0,FIXED_CAR,false,0,3,0,0,1,,,0,0,-11
10,2,3,43,3,ACCELERATING,false,0,3,0,0,1,,,0,0,-11
11,2,3,49,6,ACCELERATING,false,0,3,0,1,1,,,0,1,-3
12,2,3,55,3,HIT_MUD,false,0,4,0,1,0,,,0,1,-6
13,2,3,58,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
14,2,3,61,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
15,2,3,64,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
16,2,3,67,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
17,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
18,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
19,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
20,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
21,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
22,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
23,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
24,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
25,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
26,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
27,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
28,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
29,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
30,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
31,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
32,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
33,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
34,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
35,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
36,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
37,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
38,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
39,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
40,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
41,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
42,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
43,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
44,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
45,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
46,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
47,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
48,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
49,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
50,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
51,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
52,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
53,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
54,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
55,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
56,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
57,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
58,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
59,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
60,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
61,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
62,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
63,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
64,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
65,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
66,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
67,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
68,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
69,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
70,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
71,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
72,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
73,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
74,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
75,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
76,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
77,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
78,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
79,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
80,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
81,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
82,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
83,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
84,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
85,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
86,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
87,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
88,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
89,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
90,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
91,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
92,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
93,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
94,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
95,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
96,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
97,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
98,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
99,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
100,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
101,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
102,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
103,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
104,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
105,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
106,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
107,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
108,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
109,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
110,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
111,2,3,69,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-6
